Accession Number	Old Classification Number	Title Stroke	Title	Author Stroke	Author	Publisher	Publication Date	Original Title	Summary	Edition	Series	Publication Place	Pages or Duration	Notes	ISBN	Cost	Last Changed	Editor	Verified	Volume	Author Number	Classification Number	Book Type	Format	Media	Translator	Usage	Cataloged Date	Charge	Language
8617		2	人 生 的 週 期	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		3		0	國 語
8618		7	我 從 埃 及 召 出 我 的 兒 子 來	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8619			曠 野 人 生	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8620		11	假 如 你 能 遇 見 耶 穌	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8621		13	聖 靈 與 火 的 浸	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8622		9	耶 穌 受  浸	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		4		0	國 語
8623		12	超 過 理 性 的 信 仰	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		4		0	國 語
8624		13	聖 安 東 尼 事 工 報 導	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8625			元 帥 約 押	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8626		4	不 住 增 長 的 信 心	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		4		0	國 語
8627		4	五四運動與洋槍洋砲洋教	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8628		4	今日教會的需要-十 字 架	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8629		10	修 殿 與 復 興	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8630		9	"宣言論 "" 全然得聖 """	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8631		6	再 出 發	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8632		8	使 命 與 異 象	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8633		6	安 提 阿 教 會	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8634		9	約 瑟 與 馬 利 亞	8	周 同 培	OCCA	2000					美 國 加 州	0			0			FALSE		CHO	230			AC		1		0	國 語
8635		9	6/3/01見 証 會	4	王 建 瑄	OCCA	2001					美 國 加 州	0			0			FALSE		WAN	245			AC		0		0	國 語
8636		9	6/3/01見 証 會	4	王 建 瑄	OCCA	2001					美 國 加 州	0			0			FALSE		WAN	245			AC		1		0	國 語
