Accession Number	Old Classification Number	Title Stroke	Title	Author Stroke	Author	Publisher	Publication Date	Original Title	Summary	Edition	Series	Publication Place	Pages or Duration	Notes	ISBN	Cost	Last Changed	Editor	Verified	Volume	Author Number	Classification Number	Book Type	Format	Media	Translator	Usage	Cataloged Date	Charge	Language
3532		6	合 神 心 意	5	古 昂棺荽	以琳	1991	Touching the Heart of Go				台北	252		9579507295			章 啟 ?FALSE		GRU	24802				程 澄 浦	17		0		
3533	C60022	10	浸信會教義與研究信徒的祭司職份	0	"Shurden, Walter B."	Convention Press	1990	The Doctrine of the Priesthood of Believer				美國	127p			10			FALSE		SHU	238				湯 傳 哲	2		0	國 語
3534	A50011	18	轉移時代的人	7	李常受	福 音 書 房	1975					台灣	39p			10			FALSE		LEE	220.92					0		0	國 語
3535	J10014	5	台語新歌1-4合訂本	5	以琳聖樂組	以 琳	1992					台灣	600p			10			FALSE		YII	257.2					4		0	國 語
3536	A30505	8	使徒行傳	0	"Marchall,I.Howard"	校 園	1991	Tyndale New Testment Commentaries:Acts			丁 道 爾 新 約 聖 經 註 釋	台灣	402p			10			FALSE		MAR	226.507				蔣黃心湄	29		0	國 語
3537	J10013-2	13	愛家手冊	0		千代基金會	1990					台灣	169p			10		項秋萍等	FALSE		XIA	249.1					0		0	國 語
3538	E20003	11	教會藍圖 -由以弗所書看今日教會	13	楊寧亞等	華 神	1968					台灣	204p			10			FALSE		YAN	255					0		0	國 語
3539	H10017	6	危機與協談	0	"Wright, H.Norman"	學 園	1988	Crisis Counseling				台灣	240p			10			FALSE		WRI	250.3				黃淑 惠	9		0	國 語
3540	C20175	5	主啊 ， 改變我	0	"Christenson, Evelyn"	主 日 學	1992	"Lord,Change Me"				台 灣	278p			10			FALSE			248.21				周天麒	24		0	國 語
3541	00007A	7	走過外遇風暴	11	陳姳慧等	台 福	1995					美國	278p			10			FALSE	CHE	CHE	249					16		0	國 語
3542	C20062	9	活潑的盼望	19	關體仁	宣 道	1983					香港	78p			10			FALSE		KWA	248.2					1		0	國 語
3543	00001A	19	禱告的學校	0	"Murray, Andrew"	校 園	1994					台灣	224p			10			FALSE		MUR	248.21					14		0	國 語
3544	C30002-1	17	簡易祈禱法	14	蓋恩夫人	福 音書 房	1982					台 灣	68p			10			FALSE		GAI	248.21				俞 成 華	5		0	國 語
3545	00003A	5	叩門 ， 開門	0	"Neighbour,Ralph W."	高 接 觸	1994	"Knocking on Doors,Opening Hearts"				香港	157p			10			FALSE		NEI	255.4				張 麗 娟	2		0	國 語
3546	00002A	16	樹立新小組	0	"Neighbour, Ralph W.Jr."	高 接 觸	1994	"Buileing Groups, Opening Hearts"				香港	188p			10			FALSE		NEI	255.1				張 麗 娟	6		0	國 語
3547	00004A	11	細胞小組教會組長手冊	0	"Neighbour,Ralph W. Jr.& Wang,Lee Man Wang"	高 接 觸	1994	The Shepherd's Guidebook				香港	344p			10			FALSE		NEI	255.1				許 揚 怡	5		0	國 語
3548	F10060	4	中國大復興(1927-1937)	0	"Monson,Marie"	大 光	1990	The Awakening				台 灣	123			10			FALSE		MON	275.1				柯 美 玲	0		0	國 語
3549	F10059-1	17	撲向夢寐以求的故鄉	14	遠志明等	中 信	1992					美國	132p			10			FALSE		YUA	245					11		0	國 語
3550	C10003	10	起跑線上	14	臧玉芝	校 園	1986					台灣	15p			10			FALSE		ZAN	248.1094					0		0	國 語
3551	00005A	4	比馬龍	12	黃清一	校 園	1991					台灣	176p			10			FALSE		HUA	249.14					1		0	國 語
3552	00006A	3	三角架	12	黃清一	校 園	1992					台灣	206p			10			FALSE		HUA	249.14					4		0	國 語
3553	0	13	寬恕與自由	0	"Augsburger,David"	翻 譯 中 心	1979	The Freedom of Forgiveness				美國	154p			10			FALSE		AUG	248.2				黃 希 敏	4		0	國 語
3554	C20080	9	信心之路	18	魏德凱	校 園	1983					台 灣	50p			10			FALSE		WEB	243					1		0	國 語
3555	C20079	12	順服神的話	0	"Stibbs, A.M."	校 園	1980	Obeying God's Word				台灣	113p			10			FALSE		STI	248.2				陳 公 亮 等	2		0	國 語
3556	C20101	11	基督徒看「權勢」	0	"Foster, Richard J."	基 道	1988	POwer			信 念 再 思 叢 書	香 港	111p			10			FALSE		FOS	261				周 天 和	0		0	國 語
3557	A30606	19	羅馬書	11	陳終道	校 園	1987				新 約 書 信 讀 經 講 義	台 灣	320p			10			FALSE			227.107					7		0	國 語
3558	E60014	9	宣教之設計與實踐	11	陳勝政	高 中 文 字 中 心	1979					台 灣	248p			10			FALSE		CHE	255					0		0	國 語
3559	A30706-1	13	新成立的教會問題	0	"Cummings,James E."	浸 宣	1966	A Young Church Faces Doctrinal Questions				台灣	161p			10			FALSE		CUM	227.21094				李 本 實	0		0	國 語
3560	A21905-1	9	耶和華是我的牧者	15	劉怡持	夏 城 海 外 基 督 徒 團 契	1979					香港	60p			10			FALSE		LAU	223.2071					2		0	國 語
3561	C20199	11	基督徒看「性」	0	"Foster,Richard J."	基 道	1993	Sex				香港	171p.			10		.	FALSE		FOS	249.11				謝 靄 愉等	4		0	國 語
3562	A21802	11	深夜的心聲	10	唐佑之	證 道	1978					香港	75p			10			FALSE		TAN	223.107					2		0	國 語
3563	A21907	9	美詞泉湧(上)  ?12	焦源濂	校 園	1993					台灣	233p			10			FALSE	(Ⅰ )	JIA	223.207					4		0	國 語	
3564	A21904	13	萬愛之主	0	"Deane,John"	證 道	1961	The KIng of Love				香港	88p			10			FALSE		DEA	223.2071				宋 華 忠	1		0	國 語
3565	A20104	12	創造的奧秘	10	倪柝聲	基 督 徒 出 版 社	1982					香港	104p			10			FALSE		NEE	222.11071					11		0	國 語
3566	A20202	5	出埃及記研究	0	Unknown	人 光	1981					台灣	108p			10			FALSE		UNO	222.12094				0	6		0	國 語
3567	A20201	5	出埃及記自習指導	0	"Turnbull,M.Ryerson"	主 日 學	1985	Studying the Book of Exodus				台灣	102p			10			FALSE		TUR	222.12094				方 馬 明 初	4		0	國 語
3568	A22105	12	虛空與充滿	17	謝友王	種 籽	1987					香港	309p			10			FALSE		HSI	223.107					8		0	國 語
3569	A22701	13	萬王之王	0	"Wallace,Ronald S."	校 園	1981	The Lord Is King				台灣	220p			10			FALSE		WAL	224.15071				劉 良 淑	5		0	國 語
3570	A22101	13	傳道書講義	11	許公遂	宣 道	1982					香港	121p			10			FALSE		XU	223.907					3		0	國 語
3571	B60002-1	11	基督徒與敬祖-敬祖研討會彙編	5	丘恩處等	中 國 與 福 音 出 版 社	1987					台灣	176p			10			FALSE		QIU	239					3		0	國 語
3572	A22002	15	箴言乳蜜	10	徐松石	浸 信 會	1985					香港	270p			10			FALSE		XU	223.7071					8		0	國 語
3573	3030	13	雅歌(靈命之庫)	12	黃雪芬	靈 磐 書 室	1967					台灣	123p			10			FALSE		HUA	223.8071					0		0	國 語
3574	A22203	24	靈命之鑰-雅歌書之研究	13	微塵	甘 霖	1982					香港	104p			10			FALSE		WEI	223.8071					2		0	國 語
3575	A22201	13	愛的讚歌-雅歌	10	唐佑之	證 道	1979					香港	81p			10			FALSE		TAN	223.807					0		0	國 語
3576	A22104	2	丁道爾舊約聖經註釋﹕傳道書	0	"Eaton, Michael A."	校 園	1990	Tyndale Old Testament Commentaries:Ecclesiastes				台灣	182p			10			FALSE		EAT	223.907				蔡 金 玲 等	6		0	國 語
3577	A20103	12	開天闢地	0	"Hummel,Charles&Anne"	校 園	1986	Genesis				台灣	124p			10			FALSE		HUM	222.11094				劉 仰 青	0		0	國 語
3578	C3008-1	5	平信徒看主禱文	0	"Keller,W.Phillip"	主 日 學	1981	A Layman Looks at the Lord's Prayer				台灣	224p			10			FALSE		KEL	226.632				嚴 彩 琇	0		0	國 語
3579	C2008-2	5	平信徒看主禱文	0	"Keller,W.Phillip"	主 日 學	1981	A Layman Looks at the Lord's Prayer				台灣	224p			10			FALSE		KEL	226.632				嚴 彩 琇	1		0	國 語
3583	C20106-2	11	基督徒戰鬥的準備	0	"Shelley,Bruce"	浸 宣	1974	Basic Training in the Christian Conflict				台灣	41p			10			FALSE		SHE	248.1				李 本 實	1		0	國 語
3584	C20092-1	10	時代的使命	15	鄭國治	學 園	1975					馬來西亞	153p			10			FALSE		ZHE	248.25					1		0	國 語
3585	C2007	11	基督的門徒	0	"Kaung,Stephen"	活 泉	1983	Discipled to Christ				美國	89p			10			FALSE		KAU	255.3				許 憫	3		0	國 語
3586	C20071-1	11	基督的門徒	0	"Kaung,Stephen"	活 泉	1983	Discipled to Christ				美國	89p			10			FALSE		KAU	255.3				許 憫	1		0	國 語
3587	C20069-2	9	是否永不滅亡？	11	陳終道	宣 道	1978	"Is It ""Never"" Perish?"				香港	99p			10			FALSE		CHA	248.1					1		0	國 語
3588	C20067	8	青年之光	0	"Meyer,F.B."	聖 文	1980	Light on Life's Duties				香港	99p			10			FALSE		MEY	248.2				陳 仁 烈	0		0	國 語
3589	C20064	12	揚聲讚美	0	"Gosseff,Don"	大 光	1984	Praise Ave.				台灣	136p			10			FALSE		GOS	248.2				彭 海 揚	5		0	國 語
3590	C20070	5	生命的開端	0	"Doddridge,Philip"	改 革 宗	1984	Into Life				台灣	66p			10			FALSE		DOD	243.2				趙 中 輝	2		0	國 語
3591	F10070	7	我有一個夢	8	林治平	宇 宙 光	1986					台灣	162p			10		蔡昌萍等	FALSE		LIN	245					8		0	國 語
3592	F10005	13	愛心與信心-李登輝總統證道集	7	李登輝	宇 宙 光	1989					台灣	298p			10		陳佩璇	FALSE		LI	245					5		0	國 語
3593	C60015	11	啟示錄中的生命與事奉	15	滕近輝等	證 主 會	1983				紐 約 夏 令  退 修 會 集 錦	美國	150p			10			FALSE		TAN	248.2					4		0	國 語
3594	C30011	6	改變世界一小時	0	"Eastman,Dick"	以 琳	1984	The Hour that Changes the World				台灣	162p			10			FALSE		EAS	248.21				蔡 耀 明	3		0	國 語
3595	C20098	21	屬靈操練禮讚-靈性增長之道	0	"Foster,Richard J."	福 音 閱 覽 室	1990	Celebration of Discipline-The Path to Spiritual Grow				香港	197p			10			FALSE		FOS	248.2				周 天 和	11		0	國 語
3596	D20001-2	9	科學理智與信仰	18	韓偉等	宇 宙 光	1989					台灣	296p			10			FALSE		HAN	243.2					4		0	國 語
3597	D20001-1	9	科學理智與信仰	18	韓偉等	宇 宙 光	1987					台灣	296p			10			FALSE		HAN	243.2					2		0	國 語
3598	C60017	6	成全聖徒各盡其職	8	吳勇等	證 主 會	1987				紐 約 夏 令 退 修 會 集 錦	美國	150p			10			FALSE		WU	248.2					2		0	國 語
3599	F20072	8	非洲傳道記	17	薛玉光	宣 教 異 象 出 版 社	1993					新加坡	100p			10			FALSE		HSU	267.1					1		0	國 語
3600	F20068	13	愚夢初醒-一個科學家的信仰掙扎	0	"Peacock,Roy"	證 主	1993					香港	230p			10			FALSE		PEA	245				湛 清	10		0	國 語
3601	C30007	10	倪柝聲論爭戰	10	倪柝聲	歸 主	1979					台灣	130p			10			FALSE		NEE	248.2					9		0	國 語
3602	C30006	13	跪著的基督徒	0	A Unknown Christian	橄 欖	1987				靈 命 進 深 叢 書	台灣	149p			10			FALSE		UNK	248.21				戴 致 進	7		0	國 語
3603	C30005-2	19	禱告的震撼	0	"Christenson,Evelyn"	學 園	1984	What Happens When Women Pray				台灣	195p			10			FALSE		CHR	248.21				孫 可 立	6		0	國 語
3604	C20106-3	11	基督徒戰鬥的準備	0	"Shelley,Bruce"	浸 宣	1974	Basic Training in the Christian Conflict				台灣	41p			10			FALSE		SHE	248.1				李 本 實	0		0	國 語
3605	C20106-1	11	基督徒戰鬥的準備	0	"Shelley,Bruce"	浸 宣	1974	Basic Training in the Christian Conflict				台灣	41p			10			FALSE		SHE	248.1				李 本 實	0		0	國 語
3606	C20089-4	12	開我的眼睛	15	鄭連明等	人 光	1981					台灣	193p			10			FALSE		ZHE	220					0		0	國 語
3607	C20090	1	1997與香港基督徒	4	王國顯等	聖 文 社	1985					香港	88p			10			FALSE		WAN	261.7					0		0	國 語
3609	00008A	11	晨曦中的約會	5	台灣校園團契同工	校 園	1981				佳 音 文 選 	台灣	76p			10			FALSE		CEF	248.2					2		0	國 語
3610	C20110	7	作我的見證	7	何曉東	主 日 學	1986					台灣	182p			10			FALSE		HE	248.2					10		0	國 語
3611	C20086-2	6	如何自知與神的光	10	倪柝聲	福 音 書 房	1974					台灣	44p			10			FALSE		NEE	248.2					3		0	國 語
3612	C20073-2	2	人能建設神的國麼	4	王明道	宣 道	1962					香港	16			10			FALSE		WAN	226.6					0		0	國 語
3613	C20073-3	2	人能建設神的國麼	4	王明道	宣 道	1962					香港	16			10			FALSE		WAN	226.6					0		0	國 語
3614	C20073-4	2	人能建設神的國麼	4	王明道	宣 道	1962					香港	16			10			FALSE		WAN	226.6					0		0	國 語
3615	C20074	9	耶穌對天國的教訓	0	"Vos,Geerhardus"	橄 欖	1985	The Kingdom and the Church				台灣	74p			10			FALSE		VOS	226.6				任 以 撒	0		0	國 語
3616	00009A	4	內地六巾幗	0	"Thompson,Phyllis"	校 園	1989	Each to Her Post				台灣	122p			10			FALSE		THO	267.2				林 嘉 亮	6		0	國 語
3617	F20048	13	愛能創造神蹟	0	"Chavda,Mahesh"	愛 修 園	1991					美國	142p			10			FALSE		CHA	245				蕭 欣 忠 夫 婦	14		0	國 語
3618	F20032	2	刀鋒口上	0	"Benton,John"	大 光	1982	Marji and the Kidnap Plot				台灣	242p			10			FALSE		BEN	245				何 曉 東	8		0	國 語
3619	F20035	9	神的搭救	4	"王峙 (wang,Wilson)"	unknown	1980	God's Deliverance in the Day of Trouble				unknown	77p			10			FALSE		WAN	245					1		0	國 語
3620	F20046		熾愛-棣慕華牧師在中國	0	"Hockeet, Betty M."	宇 宙 光	1991	From Here to There and Back Again				台灣	116p			10			FALSE		HOC	267.1				黃 友 玲	6		0	國 語
3621	C20209	14	與神為友	0	"Dawson, Joy"	基 督 教	1993	Intimate Friendship with God				台灣	133p			10			FALSE		DAW	248.2				向 微	14		0	國 語
3622	F20049	13	傷殘帶來的祝福	0	"Craig, Mary"	文 藝	1982	Blessing				香港	163p			10			FALSE		CRA	245				文 國 偉	6		0	國 語
3623	F20047	6	百年虛度	9	約翰強森	播 種	1972	The Lin fo Being Fifty			播 種 者 叢 書	台灣	28p			10			FALSE			246.2				伍 惠 亞	0		0	國 語
3624	C20065-2	7	別埋沒你的頭腦	0	"Stott, John R.W."	種 籽	1978	Your Mind Matters				香港	75p			10			FALSE		STO	248.2				陳 偉 明	1		0	國 語
3625	C20065-1	7	別埋沒你的頭腦	0	"Stott, John R.W."	種 籽	1978	Your Mind Matters				香港	75p			10			FALSE		STO	248.2				陳 偉 明	1		0	國 語
3626	C20066	6	交通的訣要	0	"Murray, Andrew"	少 年 歸 主	1981	The Secret of Fellowship				台灣	81p			10			FALSE		MUR	242.4					4		0	國 語
3627	C20192	8	迎向人生(生活的掙扎)	0	"Swindoll, Charles R."	證 主	1991	Living on the Ragged Edge 1				香港	130p			10			FALSE		SWI	248.2				陳 秀 雲	4		0	國 語
3628	B40016	7	佛教常識問答集-佛教研究專題解答	22	龔天民	校 園	1994					台灣	319p			10			FALSE		KUN	239					14		0	國 語
3629	C10010-1	9	重生真義	4	王明道	浸 宣	1980				王 明 道 文 庫 選 輯 之 一	台灣	38p			10		王正中	FALSE		WAN	248.1					0		0	國 語
3630	C10010-2	9	重生真義	4	王明道	浸 宣	1980				王 明 道 文 庫 選 輯 之 一	台灣	38p			10		王正中	FALSE		WAN	248.1					0		0	國 語
3631	F20025	15	慕迪小傳	0	unknown	福 音書 房	1972					台灣	23p			10			FALSE		UNK	267.3					1		0	國 語
3632	F20030	14	賓路易師母小傳	0	UNknown	福 音書 房	1973					台灣	24p			10			FALSE		UNK	267.3					0		0	國 語
3633	F20029	12	斐尼小傳	0	Unknown	福 音	1972					台灣	48p			10			FALSE		UNK	267.3					1		0	國 語
3634	F20028	5	司布真小傳	0	Unknown	福 音書 房	1973					台灣	22p			10			FALSE		UNK	267.3					2		0	國 語
3635	200	7	克理威廉 (凱瑞韋廉)小傳	0	Unknown	福 音書 房	1972					台灣	21p			10			FALSE		UNK	267.1					1		0	國 語
3636	C20190	14	認識神	0	"Packer, James I."	證 主	1988	Knowing God				香港	234p			10			FALSE		PAC	231.2				林 來 慰	8		0	國 語
3637	C10002-3	12	給初信者	5	台灣校園團契同工	校 園	1983					台灣	105p			10			FALSE		CEF	248.1					3		0	國 語
3638	C10002-1	12	給初信者	5	台灣校園團契同工	校 園	1983					台灣	105p			10			FALSE		CEF	248.1					5		0	國 語
3639	B40014	10	真理自明-基督教與佛教的比較	22	龔天民	歸 主	1992					台灣	204p			10			FALSE		KUN	239					2		0	國 語
3640	C20181	3	大地的叛逆者	0	"Lindsey, Hal"	主 日 學	1986	Satan is Alive and Well on Planet Earth				台灣	292			10			FALSE		LIN	235.2				劉 竹 村	4		0	國 語
3641	F20077	18	叢林迴聲	0	"Olson, Bruce E."	校 園	1992	Bruchko				台灣	205p			10			FALSE		OLS	267.1				何 曉 東	2		0	國 語
3642	F20042	20	獻身中華	0	"Taylor, Hudson"	宣 道	1988	To Chian with Love				香港	201p			10			FALSE		TAY	267.1				陸 中 石	10		0	國 語
3643	F20026	15	慕安得烈小傳	0	Unknown	福 音 書 房	1977					台灣	24p			10			FALSE		UNK	267.3					0		0	國 語
3644	C20082	4	天堂-聖經怎麼說	0	"Ball, charles Ferguson"	Unknown	1989	Heaven			屬 天 奧 秘 叢 書 	Unknown	106p			10			FALSE		BAL	236.24				張 秀 鳳	11		0	國 語
3645	C20172	4	王明道著作-每日選讀	4	王明道	基 道	1989					香港	100p			10			FALSE		WAN	242.4					3		0	國 語
3646	F20061	16	學屬靈偉人的榜樣	0	"Wiersbe, Warren W."	橄 欖	1988	Victorious Christians You Should Know			貴 重 器 皿 叢 書 Ⅰ	台灣	145p			10			FALSE		WIE	267.4				江 榮 仁	4		0	國 語
3647	F20062	12	無懼的見證	0	"Bright, Bill"	學 園	1988	Witnessing without Fear				台灣	169p			10			FALSE		BRI	245				何 玲 慧 等	8		0	國 語
3648	F20086	15	慕 w得烈傳	0	"Choy, Leona F."	以 琳	1993	Andrew Murray-Apostle of Abiding Love			傳 記 叢 書 	台灣	206			10			FALSE		CHO	267.3				任 炎 林	10		0	國 語
3649	F20031	15	慕勒小傳	0		福 音書 房	1973					台灣	46p			10			FALSE			267.3					0		0	國 語
3650	B40015	6	共產主義與基督教	12	溫偉耀	天 道	1993					香港	319p			10			FALSE		WEN	261.7					5		0	國 語
3651	C20058	8	來試試我-談基督教對金錢奉獻的態度	0	"Olford, Stephen"	校 園	1978	The Grace of Giving				台灣	139p			10			FALSE		OLF	249.4				陳 騮  夫 婦	3		0	國 語
3652	C20108	10	氣質的更新	0	"Lahaye, Tim"	宣 道	1986	Transformed Temperaments				香港	224p			10			FALSE		LAH	249.5				毛 麥 寶 琳	7		0	國 語
3654	C20072	24	靈性低潮	0	"Lioyd-Jones, D,Martyn"	證 主	1991	Spiritual Depression				台灣	365p			10			FALSE		LIO	248.2				詹 正 義	13		0	國 語
3655	C20077	2	人的破碎與靈的出來	10	倪柝聲	福 音書 房	1974					台灣	119p			10			FALSE		NEE	248.2					4		0	國 語
3656	C20078	9	神對人失職的反應	5	"史百克(Sparks, T.A.)"	見 證 書 室	1972					台灣	172p			10			FALSE		SPA	248.2					3		0	國 語
3657	H10004	7	我怎樣討人喜歡	11	麥金尼	道 聲	1987					台灣	266p			10			FALSE		MAC	249.2				伍 惠 亞	2		0	國 語
3658	A31106	12	腓立比書	12	馮蔭坤	天 道	1991					香港	535p			10			FALSE		FUN	227.507					9		0	國 語
3659	A30405	9	神子耶穌	15	蔡張敬玲	證 道	1985					香港	225p			10			FALSE		CAI	226.4094					3		0	國 語
3660	A30204	13	詹遜自助研經課程-馬可福音	0	"Jensen, Irving L."	種 籽	1993	A Self-Study Guide-Mark				香港	132p			10			FALSE		JEN	226.2094				曾 梁 佩 璋 等	2		0	國 語
3661	A30203	10	馬可福音	0	"Morgan, G. Campbell"	活 石	1990	The Gospel According to Mark			摩 根 解 經 叢 卷	美國	230p			10			FALSE		MOR	226.207				詹 正 義	2		0	國 語
3662	A30304	13	路加福音	0	"Morgan, G. Campbell"	活 石	1985	The Gospel According to Luke			摩 根 解 經 叢 卷	美國	392p			10			FALSE		MOR	226.307				鍾 越 娜	3		0	國 語
3663	G40011	7	作女人的藝術	0	"Petersen, Evelyn R& J.Allan"	主 日 學	1990	For Women Only				台灣	331p			10			FALSE		PET	249.132				嚴 彩 琇	15		0	國 語
3664	A40210-1	11	基督徒的均衡生活	15	蔡元雲	基 督 徒 學 生 團  福 音 團 契	1981					香港	72p			10			FALSE		CHO	248.2094					1		0	國 語
3665	H10003	4	心理健康與人生	13	楊其耀	人 光	1979					台灣	83p			10			FALSE		YOU	250					0		0	國 語
3666	H10011	9	怒火中燒?怎辦？	0	"Walters, Richard P."	天 道	1980	"Anger,Yours and Mine and What to Do about It?"			信 徒 生 活 叢 書	香港	164p			10			FALSE		WAL	250				譚 天 佑	7		0	國 語
3667	A50003	21	屬靈的首領	0	"Sparks, T.A."	少 年 歸 主	1978					台灣	104p			10			FALSE		SPA	220.92					4		0	國 語
3668	A40103	5	生命之路	0	"Warren, N.L."	證 道	1976	Journey into Life				台灣	16p			10			FALSE		WAR	243.1					0		0	國 語
3669	A50018	13	雅各-神的王子以色列	0	"Meyer, F.B."	活 泉	1989	Israel-A Prince with God				美國	158p			10			FALSE		MEY	220.92				鍾 越 娜	2		0	國 語
3670	C20056	9	重開與責任	16	盧家駇等	遠 東	1979					香港	110p			10			FALSE		LO	261.7					0		0	國 語
3671	A30105	16	學習作王	0	"Wiersbe, Warren"	翻 譯 中 心	1981	Live Like A King				台灣	242p			10			FALSE		WIE	226.631				陳 天 予 等	4		0	國 語
3672	E60010	7	你也能參與宣教	0	"Griffiths,Michael"	校 園	1988	What on Earth are You doing?				台灣	108p			10			FALSE		GRI	266				吳 秀 蘭	2		0	國 語
3673	E60013	5	世界基督教運動面面觀	0	"Winter,Ralph D..."	證 主	1991	Perspectives on the World christians Movement- Reader				香港	164p			10			FALSE		WIN	266				盧 家 文 等	0		0	國 語
3674	A30605	19	羅馬書信息	11	陳尊德	主 日 學	1981	An Exposition of Romans				台灣	326p			10			FALSE		CHE	227.1701					2		0	國 語
3675	C20128	13	傾福於你	9	施達雄	主 日 學	1982					台灣	111p			10			FALSE		SHI	249.4					6		0	國 語
3676	I10012		清晨鐘聲	0		光 啟 社	1981	Morning Bells Ⅱ				台灣	188p			10			FALSE			246.3				周 增 祥	2		0	國 語
3677	A32304	19	願與你相交	0	"Pentecost,J.Dwight"	種 籽	1979	The Joy of Fellowship				香港	164p			10			FALSE		PEN	227.9607				劉 學 偉	4		0	國 語
3678	H10016	4	心理輔導面面觀	0	"Colins,Gary R."	大 光	1990	Christian Counseling:A Comprehensive Guide				台灣	694p			10			FALSE		COL	250.3				張 鈞 等	3		0	國 語
3679	E60009	15	踏上宣教之路	17	龍維耐夫婦	校 園	1991					台灣	296p			10			FALSE		LOO	266.2					4		0	國 語
3680	A30611	19	羅馬書精意	12	黃彼得	聖 道	1980					香港	280p			10			FALSE		HUA	227.107					3		0	國 語
3681	A30501-1	13	傳揚耶穌基督	0	"Morgan,C.Campbell"	浸 宣	1972	Proclaiming Jesus Christ				台灣	207p			10			FALSE		MOR	226.507				浸 宣 出 版 部	1		0	國 語
3682	A30501-2	13	傳揚耶穌基督	0	"Morgan,C.Campbell"	浸 宣	1972	Proclaiming Jesus Christ				台灣	207p			10			FALSE		MOR	226.507				浸 宣 出 版 部	1		0	國 語
3683	E60011	11	從使徒行傳看宣教與差傳	17	戴紹曾	校 園	1988					台灣	182p			10			FALSE		TAY	266					0		0	國 語
3684	A30302	13	路上光(一 )	11	陳南州	人 光	1981					台灣	142p			10		陳南州	FALSE		CHE	226.3094					0		0	國 語
3685	A30401	10	恩上加恩	9	計志文	中 國 佈 道 會	1962					香港	100p			10			FALSE		JI	252					2		0	國 語
3686	A30305	17	擘開生命之餅	12	馮蔭坤	基 道	1992					香港	82p			10			FALSE		FEN	226.62					1		0	國 語
3687	A40202	7	初信造就課程（卷三）	20	蘇齊冰	證 道	1987				中 神 大 眾 神 學 叢 書	香港	48p			10			FALSE	Ⅲ	SO	248.1094					2		0	國 語
3688	A40201	7	初信造就課程(卷二 )	20	蘇齊冰	證 道	1987				中 神 大 眾 神 學 叢 書	香港	48p			10			FALSE	Ⅱ	SO	248.1094					2		0	國 語
3689	H10020	6	如何輔導	0	"Gulbranson,Gary"	大 光	1993	Mastering Pastoral counseling				台灣	217p			10			FALSE		GUL	250.3				謝 娜 敏	1		0	國 語
3690	A30610	13	新造的人	0	"Stott,John R.W."	證 道	1977	Men Made New				香港	134p			10			FALSE		STO	227.107				張 永 佳	3		0	國 語
3691	J10004	2	力量泉源	0		道 聲	1981				道 聲 百 合 文 庫	台灣	227p			10		周增祥	FALSE			242.4					12		0	國 語
3692	A50006	5	失敗者	11	陳終道	宣 道	1973					香港	141p			10			FALSE		CHA	220.92					2		0	國 語
3693	I10017	6	地毯的那一端	12	張曉風	文 林	1966					台灣	182p			10			FALSE		ZHA	246.2					13		0	國 語
3694	00010A	9	耶穌傳	7	李不易	公 報 社	1987					台灣	173p			10			FALSE		LEE	226.6094					0		0	國 語
3695	A20702	10	時代的領袖(士師記)	0		播 道 會	1984				研 讀 全 本 聖 經 的 分 級 課 程	香港	183p			10		播道會	FALSE		UNK	222.31095					0		0	國 語
3696	E20012	12	植堂與拓展	14	趙天恩等	中 國 福 音 會	1983					台灣	157p			10			FALSE		ZHA	255					2		0	國 語
3697	E20004	6	多種多收	5	史文森	教 會 增 長 促 進 會	1985					台灣	150p			10			FALSE		SHI	255					0		0	國 語
3698	A30110	10	馬太福音-新約卷釋	0	"Bruce,F.F."	香 港 讀 經 會	1986	Understanding the New Testament-Matthew				香港	92p			10			FALSE		BRU	226.107				石 祥 明 等	2		0	國 語
3699	A30408	9	耶穌是神子(一)	0		浸 信 會	1986				聖 經 書 卷 課 程 第 33冊	香港	139p			10		熊大吾	FALSE		UNK	226.4095					2		0	國 語
3700	A30904	7	作個自由人	0	"Wiersbe,Warren"	學 園	1988	Be Free				台灣	183			10			FALSE		WIE	227.307				王 小 玲	1		0	國 語
3701	A30601	11	救恩基本真理(羅馬書1-8章釋義)	0	"Andersen, Olvind"	中 國 基 督 教 信 義 會	1971	Fundamental Truths of Salvation				台灣	280p			10			FALSE		AND	227.107				孫 偉 克	0		0	國 語
3702	A30104	3	山上寶訓	0	"Jeremias, Joachim"	永 望	1983					台灣	43p			10			FALSE		JER	226.63				許 尚 華	1		0	國 語
3703	A30501-4	13	傳揚耶穌基督	0	"Morgan,C.Campbell"	浸 宣	1972	Proclaiming Jesus Christ				台灣	207p			10			FALSE		MOR	226.507				浸 宣 出 版 部	1		0	國 語
3704	A30501-3	13	傳揚耶穌基督	0	"Morgan,C.Campbell"	浸 宣	1972	Proclaiming Jesus Christ				台灣	207p			10			FALSE		MOR	226.507				浸 宣 出 版 部	0		0	國 語
3705	A30506	8	使徒傳道模範	13	賈玉銘	少 年  歸 主	1987					台灣	278p			10			FALSE		JIA	226.507					16		0	國 語
3706	E20010	6	如何	0	"Alexander, John W."	亞 洲 歸 主 協 會	1984	Managing Our Work				香港	102p			10			FALSE		ALE	255.3				王 一 平	0		0	國 語
3707	E20011	11	教會的身量	0	"Getz, Gene A."	證 道	1987	The Measure of A church				香港	158p			10			FALSE		GET	238				j蔣 黃 心 湄	0		0	國 語
3708	E20009	12	華人信徒在北美	10	唐佑之	使 者	1984					美國	120p			10			FALSE		TAN	248.26					0		0	國 語
